PEAK_chr	PEAK_start	PEAK_end	GENE_chr	GENE_start	GENE_end	ID
chr1	10712645	10714877	chr1	10715665	10716162	AT1G30360
chr1	10712645	10714877	chr1	10715665	10715891	AT1G30360
chr1	8983010	8986748	chr1	8981677	8983041	AT1G25560
chr1	8983010	8986748	chr1	8981677	8983041	AT1G25560
chr1	8983010	8986748	chr1	8982977	8983041	AT1G25560
chr1	8983010	8986748	chr1	8981677	8983041	AT1G25560
chr1	29769016	29772650	chr1	29771278	29771887	AT1G79130
chr1	29769016	29772650	chr1	29771278	29771887	AT1G79130
chr1	29769016	29772650	chr1	29771319	29771723	AT1G79130
chr1	29769016	29772650	chr1	29771278	29771887	AT1G79130
chr1	29769016	29772650	chr1	29771278	29771318	AT1G79130
chr1	29769016	29772650	chr1	29771319	29771723	AT1G79130
chr1	29769016	29772650	chr1	29771724	29771887	AT1G79130
chr1	29769016	29772650	chr1	29772588	29777989	AT1G79150
chr1	29769016	29772650	chr1	29772588	29777989	AT1G79150
chr1	29769016	29772650	chr1	29772588	29772715	AT1G79150
chr1	29769016	29772650	chr1	29772588	29773189	AT1G79150
chr4	11862987	11866082	chr4	11865713	11866108	AT4G22540
chr4	11862987	11866082	chr4	11865713	11866364	AT4G22540
chr4	11862987	11866082	chr4	11863761	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863761	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864378	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864378	AT4G22540
chr4	11862987	11866082	chr4	11863887	11864126	AT4G22540
chr4	11862987	11866082	chr4	11863761	11863886	AT4G22540
chr4	11862987	11866082	chr4	11863761	11864126	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864367	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864367	AT4G22540
chr4	11862987	11866082	chr4	11863887	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863761	11863886	AT4G22540
chr4	11862987	11866082	chr4	11863761	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864378	AT4G22540
chr4	11862987	11866082	chr4	11864253	11864378	AT4G22540
chr4	11862987	11866082	chr4	11863887	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863761	11863886	AT4G22540
chr4	11862987	11866082	chr4	11863761	11864123	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11863167	11863236	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11862720	11863075	AT4G22540
chr4	11862987	11866082	chr4	11860444	11866364	AT4G22540
chr4	11862987	11866082	chr4	11860444	11866364	AT4G22540
chr4	11862987	11866082	chr4	11860969	11866108	AT4G22540
chr4	11862987	11866082	chr4	11860444	11864378	AT4G22540
chr4	11862987	11866082	chr4	11860969	11863886	AT4G22540
chr4	11862987	11866082	chr4	11860456	11864367	AT4G22540
chr4	11862987	11866082	chr4	11860969	11863886	AT4G22540
chr4	11862987	11866082	chr4	11860444	11864378	AT4G22540
chr4	11862987	11866082	chr4	11860969	11863886	AT4G22540
chr1	27051249	27053418	chr1	27054180	27056341	AT1G71880
chr1	27051249	27053418	chr1	27054180	27056341	AT1G71880
chr1	27051249	27053418	chr1	27054180	27055593	AT1G71880
chr1	27051249	27053418	chr1	27054180	27054333	AT1G71880
chr5	1021214	1023067	chr5	1023528	1023683	AT5G03837
chr5	1021214	1023067	chr5	1023528	1023683	AT5G03837
chr5	1021214	1023067	chr5	1023528	1023683	AT5G03837
chr5	1021214	1023067	chr5	1023528	1023683	AT5G03837
chr5	1021214	1023067	chr5	1023528	1023683	AT5G03837
chr2	641493	643178	chr2	639161	639305	AT2G02440
chr2	641493	643178	chr2	639161	639305	AT2G02440
chr2	641493	643178	chr2	638012	639305	AT2G02440
chr2	641493	643178	chr2	638012	639305	AT2G02440
chr2	641493	643178	chr2	638012	639305	AT2G02440
chr1	25989820	25990924	chr1	25989730	25989803	AT1G69130
chr1	25989820	25990924	chr1	25989730	25989803	AT1G69130
chr1	25989820	25990924	chr1	25989730	25989803	AT1G69130
chr5	2290200	2290884	chr5	2285040	2288686	AT5G07280
chr5	2290200	2290884	chr5	2285040	2288686	AT5G07280
chr5	2290200	2290884	chr5	2285040	2288686	AT5G07280
chr5	2290200	2290884	chr5	2288667	2288686	AT5G07280
chr2	16612596	16615917	chr2	16612800	16613030	AT2G39810
chr2	16612596	16615917	chr2	16612800	16612940	AT2G39810
chr2	16612596	16615917	chr2	16612941	16613030	AT2G39810
chr2	16612596	16615917	chr2	16613843	16613977	AT2G39810
chr2	16612596	16615917	chr2	16613843	16613977	AT2G39810
chr2	16612596	16615917	chr2	16614068	16614243	AT2G39810
chr2	16612596	16615917	chr2	16614068	16614243	AT2G39810
chr2	16612596	16615917	chr2	16614732	16615133	AT2G39810
chr2	16612596	16615917	chr2	16614732	16615133	AT2G39810
chr2	16612596	16615917	chr2	16615252	16615410	AT2G39810
chr2	16612596	16615917	chr2	16615252	16615410	AT2G39810
chr2	16612596	16615917	chr2	16615515	16616006	AT2G39810
chr2	16612596	16615917	chr2	16615515	16616006	AT2G39810
chr2	16612596	16615917	chr2	16612800	16618057	AT2G39810
chr2	16612596	16615917	chr2	16612800	16618057	AT2G39810
chr2	16612596	16615917	chr2	16612941	16617802	AT2G39810
chr2	16612596	16615917	chr2	16613167	16613557	AT2G39810
chr2	16612596	16615917	chr2	16613167	16613557	AT2G39810
chr1	11762474	11763923	chr1	11759459	11762607	AT1G32530
chr1	11762474	11763923	chr1	11759459	11762607	AT1G32530
chr1	11762474	11763923	chr1	11762541	11762607	AT1G32530
chr1	11762474	11763923	chr1	11762541	11762607	AT1G32530
chr4	14549983	14551131	chr4	14553315	14555167	AT4G29720
chr4	14549983	14551131	chr4	14553315	14555167	AT4G29720
chr4	14549983	14551131	chr4	14553315	14553455	AT4G29720
chr4	14549983	14551131	chr4	14553315	14555167	AT4G29720
chr1	8597082	8599605	chr1	8600465	8600655	AT1G24265
chr1	8597082	8599605	chr1	8600465	8600612	AT1G24265
chr1	8597082	8599605	chr1	8600465	8603801	AT1G24265
chr1	8597082	8599605	chr1	8600465	8603801	AT1G24265
chr3	1728507	1731358	chr3	1730976	1732384	AT3G05810
chr3	1728507	1731358	chr3	1730976	1732384	AT3G05810
chr3	1728507	1731358	chr3	1731259	1732321	AT3G05810
chr3	1728507	1731358	chr3	1731259	1731336	AT3G05810
chr3	1728507	1731358	chr3	1730976	1731258	AT3G05810
chr3	1728507	1731358	chr3	1730976	1731336	AT3G05810
chr2	12591962	12593467	chr2	12592148	12593686	AT2G29320
chr2	12591962	12593467	chr2	12592148	12593686	AT2G29320
chr2	12591962	12593467	chr2	12592180	12593377	AT2G29320
chr2	12591962	12593467	chr2	12592148	12592262	AT2G29320
chr2	12591962	12593467	chr2	12592148	12592179	AT2G29320
chr2	12591962	12593467	chr2	12592180	12592262	AT2G29320
chr2	12591962	12593467	chr2	12592364	12592571	AT2G29320
chr2	12591962	12593467	chr2	12592364	12592571	AT2G29320
chr2	12591962	12593467	chr2	12592659	12592878	AT2G29320
chr2	12591962	12593467	chr2	12592659	12592878	AT2G29320
chr2	12591962	12593467	chr2	12592989	12593095	AT2G29320
chr2	12591962	12593467	chr2	12592989	12593095	AT2G29320
chr2	12591962	12593467	chr2	12593186	12593686	AT2G29320
chr2	12591962	12593467	chr2	12593186	12593377	AT2G29320
chr2	12591962	12593467	chr2	12593378	12593686	AT2G29320
chr1	26261088	26262108	chr1	26258939	26260751	AT1G69780
chr1	26261088	26262108	chr1	26258939	26260751	AT1G69780
chr1	26261088	26262108	chr1	26260100	26260751	AT1G69780
chr1	26261088	26262108	chr1	26260466	26260751	AT1G69780
chr5	17158039	17159172	chr5	17159044	17161070	AT5G42790
chr5	17158039	17159172	chr5	17159044	17161070	AT5G42790
chr5	17158039	17159172	chr5	17159044	17159269	AT5G42790
chr5	17158039	17159172	chr5	17159044	17159755	AT5G42790
chr4	13222782	13224337	chr4	13224338	13227872	AT4G26090
chr4	13222782	13224337	chr4	13224338	13227872	AT4G26090
chr4	13222782	13224337	chr4	13224338	13227872	AT4G26090
chr4	13222782	13224337	chr4	13224338	13224595	AT4G26090
chr4	13222782	13224337	chr4	13224338	13227622	AT4G26095
chr4	13222782	13224337	chr4	13224338	13227622	AT4G26095
chr4	13222782	13224337	chr4	13224338	13227265	AT4G26095
chr4	12379642	12381279	chr4	12381845	12383034	AT4G23760
chr4	12379642	12381279	chr4	12381845	12383034	AT4G23760
chr4	12379642	12381279	chr4	12381845	12382850	AT4G23760
chr4	12379642	12381279	chr4	12381845	12382117	AT4G23760
chr4	12379642	12381279	chr4	12381845	12382117	AT4G23760
chr1	7974695	7975799	chr1	7970248	7974396	AT1G22560
chr1	7974695	7975799	chr1	7970248	7974396	AT1G22560
chr1	7974695	7975799	chr1	7970248	7974396	AT1G22560
chr3	19833137	19834346	chr3	19832472	19834073	AT3G53490
chr3	19833137	19834346	chr3	19832472	19834073	AT3G53490
chr3	19833137	19834346	chr3	19832666	19834024	AT3G53490
chr3	19833137	19834346	chr3	19833418	19833610	AT3G53490
chr3	19833137	19834346	chr3	19833418	19833610	AT3G53490
chr3	19833137	19834346	chr3	19833795	19834073	AT3G53490
chr3	19833137	19834346	chr3	19833795	19834024	AT3G53490
chr3	19833137	19834346	chr3	19834025	19834073	AT3G53490
chr3	19833137	19834346	chr3	19834343	19837088	AT3G53500
chr3	19833137	19834346	chr3	19834343	19837082	AT3G53500
chr3	19833137	19834346	chr3	19834343	19834556	AT3G53500
chr3	19833137	19834346	chr3	19834343	19834872	AT3G53500
chr3	19833137	19834346	chr3	19834343	19837088	AT3G53500
chr3	19833137	19834346	chr3	19834343	19834556	AT3G53500
chr3	19833137	19834346	chr3	19834343	19834872	AT3G53500
chr2	17515772	17518302	chr2	17518266	17518604	AT2G41960
chr2	17515772	17518302	chr2	17518266	17518604	AT2G41960
chr2	17515772	17518302	chr2	17517935	17518194	AT2G41960
chr2	17515772	17518302	chr2	17517935	17518194	AT2G41960
chr2	17515772	17518302	chr2	17517500	17517641	AT2G41960
chr2	17515772	17518302	chr2	17517500	17517641	AT2G41960
chr2	17515772	17518302	chr2	17516981	17517349	AT2G41960
chr2	17515772	17518302	chr2	17516981	17517349	AT2G41960
chr2	17515772	17518302	chr2	17516734	17516865	AT2G41960
chr2	17515772	17518302	chr2	17516734	17516865	AT2G41960
chr2	17515772	17518302	chr2	17516505	17516633	AT2G41960
chr2	17515772	17518302	chr2	17516505	17516633	AT2G41960
chr2	17515772	17518302	chr2	17514118	17519293	AT2G41960
chr2	17515772	17518302	chr2	17514118	17519293	AT2G41960
chr2	17515772	17518302	chr2	17514244	17519015	AT2G41960
chr2	17515772	17518302	chr2	17514244	17516400	AT2G41960
chr2	17515772	17518302	chr2	17514118	17516400	AT2G41960
chr5	4391591	4392614	chr5	4392083	4392227	AT5G13630
chr5	4391591	4392614	chr5	4392083	4392227	AT5G13630
chr5	4391591	4392614	chr5	4387334	4392227	AT5G13630
chr5	4391591	4392614	chr5	4387334	4392227	AT5G13630
chr5	4391591	4392614	chr5	4387567	4392082	AT5G13630
chr5	4391591	4392614	chr5	4390678	4392082	AT5G13630
chr5	4391591	4392614	chr5	4390678	4392227	AT5G13630
chr5	4391591	4392614	chr5	4387334	4392227	AT5G13630
chr5	4391591	4392614	chr5	4387920	4392082	AT5G13630
chr5	4391591	4392614	chr5	4390678	4392082	AT5G13630
chr5	4391591	4392614	chr5	4390678	4392227	AT5G13630
chr1	1133821	1135042	chr1	1136258	1138613	AT1G04250
chr1	1133821	1135042	chr1	1136258	1138613	AT1G04250
chr1	1133821	1135042	chr1	1136258	1136620	AT1G04250
chr1	1133821	1135042	chr1	1136258	1136381	AT1G04250
chr5	6812209	6814267	chr5	6812338	6812559	AT5G20181
chr5	6812209	6814267	chr5	6812338	6812559	AT5G20181
chr5	6812209	6814267	chr5	6812338	6812559	AT5G20181
chr5	6812209	6814267	chr5	6812338	6812559	AT5G20181
chr5	6812209	6814267	chr5	6812338	6812559	AT5G20181
chr5	6812209	6814267	chr5	6814093	6815379	AT5G20190
chr5	6812209	6814267	chr5	6814093	6815379	AT5G20190
chr5	6812209	6814267	chr5	6814093	6815171	AT5G20190
chr5	6812209	6814267	chr5	6814093	6814641	AT5G20190
chr5	6812209	6814267	chr5	6814093	6814641	AT5G20190
chr3	4606629	4608048	chr3	4608383	4610399	AT3G13960
chr3	4606629	4608048	chr3	4608383	4610399	AT3G13960
chr3	4606629	4608048	chr3	4608383	4608724	AT3G13960
chr3	4606629	4608048	chr3	4608383	4608525	AT3G13960
chr4	1499346	1501255	chr4	1497536	1499865	AT4G03400
chr4	1499346	1501255	chr4	1497536	1499865	AT4G03400
chr4	1499346	1501255	chr4	1497675	1499729	AT4G03400
chr4	1499346	1501255	chr4	1499730	1499865	AT4G03400
chr4	1499346	1501255	chr4	1499422	1499729	AT4G03400
chr4	1499346	1501255	chr4	1499422	1499865	AT4G03400
chr4	1499346	1501255	chr4	1501168	1503561	AT4G03410
chr4	1499346	1501255	chr4	1501168	1503561	AT4G03410
chr4	1499346	1501255	chr4	1501168	1502242	AT4G03410
chr4	1499346	1501255	chr4	1501168	1501906	AT4G03410
chr4	1499346	1501255	chr4	1501168	1503561	AT4G03410
chr4	1499346	1501255	chr4	1501168	1502242	AT4G03410
chr4	1499346	1501255	chr4	1501168	1501906	AT4G03410
chr1	21543248	21543836	chr1	21540632	21544398	AT1G58190
chr1	21543248	21543836	chr1	21540720	21544330	AT1G58190
chr1	21543248	21543836	chr1	21542187	21544398	AT1G58190
chr1	21543248	21543836	chr1	21542187	21544330	AT1G58190
chr1	21543248	21543836	chr1	21540632	21548112	AT1G58190
chr1	21543248	21543836	chr1	21540632	21548112	AT1G58190
chr1	21543248	21543836	chr1	21540720	21547996	AT1G58190
chr2	11290793	11292122	chr2	11291218	11293445	AT2G26550
chr2	11290793	11292122	chr2	11291218	11293445	AT2G26550
chr2	11290793	11292122	chr2	11291584	11293426	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291584	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291583	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr2	11290793	11292122	chr2	11291218	11293445	AT2G26550
chr2	11290793	11292122	chr2	11291584	11293426	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291584	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291583	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr2	11290793	11292122	chr2	11291218	11293445	AT2G26550
chr2	11290793	11292122	chr2	11291584	11293426	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291761	11291868	AT2G26550
chr2	11290793	11292122	chr2	11291584	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291583	AT2G26550
chr2	11290793	11292122	chr2	11291531	11291676	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr2	11290793	11292122	chr2	11291218	11291459	AT2G26550
chr1	27046306	27048239	chr1	27054180	27056341	AT1G71880
chr1	27046306	27048239	chr1	27054180	27056341	AT1G71880
chr1	27046306	27048239	chr1	27054180	27055593	AT1G71880
chr1	27046306	27048239	chr1	27054180	27054333	AT1G71880
chr2	15087956	15090051	chr2	15088833	15089170	AT2G35940
chr2	15087956	15090051	chr2	15088833	15089170	AT2G35940
chr2	15087956	15090051	chr2	15088832	15089170	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15090006	15090066	AT2G35940
chr2	15087956	15090051	chr2	15088832	15092415	AT2G35940
chr2	15087956	15090051	chr2	15088833	15092415	AT2G35940
chr2	15087956	15090051	chr2	15089171	15091699	AT2G35940
chr2	15087956	15090051	chr2	15089171	15089920	AT2G35940
chr2	15087956	15090051	chr2	15088833	15089920	AT2G35940
chr2	15087956	15090051	chr2	15088833	15092178	AT2G35940
chr2	15087956	15090051	chr2	15089171	15091699	AT2G35940
chr2	15087956	15090051	chr2	15089171	15089920	AT2G35940
chr2	15087956	15090051	chr2	15088833	15089920	AT2G35940
chr2	15087956	15090051	chr2	15088832	15092353	AT2G35940
chr2	15087956	15090051	chr2	15089171	15091699	AT2G35940
chr2	15087956	15090051	chr2	15089171	15089920	AT2G35940
chr2	15087956	15090051	chr2	15088832	15089920	AT2G35940
chr2	16852354	16856338	chr2	16852880	16856690	AT2G40360
chr2	16852354	16856338	chr2	16852880	16856690	AT2G40360
chr2	16852354	16856338	chr2	16853123	16856635	AT2G40360
chr2	16852354	16856338	chr2	16856261	16856384	AT2G40360
chr2	16852354	16856338	chr2	16856261	16856384	AT2G40360
chr2	16852354	16856338	chr2	16855921	16856057	AT2G40360
chr2	16852354	16856338	chr2	16855921	16856057	AT2G40360
chr2	16852354	16856338	chr2	16855672	16855826	AT2G40360
chr2	16852354	16856338	chr2	16855672	16855826	AT2G40360
chr2	16852354	16856338	chr2	16855475	16855592	AT2G40360
chr2	16852354	16856338	chr2	16855475	16855592	AT2G40360
chr2	16852354	16856338	chr2	16855125	16855383	AT2G40360
chr2	16852354	16856338	chr2	16855125	16855383	AT2G40360
chr2	16852354	16856338	chr2	16854925	16855033	AT2G40360
chr2	16852354	16856338	chr2	16854925	16855033	AT2G40360
chr2	16852354	16856338	chr2	16854735	16854837	AT2G40360
chr2	16852354	16856338	chr2	16854735	16854837	AT2G40360
chr2	16852354	16856338	chr2	16854504	16854654	AT2G40360
chr2	16852354	16856338	chr2	16854504	16854654	AT2G40360
chr2	16852354	16856338	chr2	16854289	16854421	AT2G40360
chr2	16852354	16856338	chr2	16854289	16854421	AT2G40360
chr2	16852354	16856338	chr2	16854104	16854210	AT2G40360
chr2	16852354	16856338	chr2	16854104	16854210	AT2G40360
chr2	16852354	16856338	chr2	16853939	16854003	AT2G40360
chr2	16852354	16856338	chr2	16853939	16854003	AT2G40360
chr2	16852354	16856338	chr2	16853313	16853862	AT2G40360
chr2	16852354	16856338	chr2	16853313	16853862	AT2G40360
chr2	16852354	16856338	chr2	16853123	16853208	AT2G40360
chr2	16852354	16856338	chr2	16852880	16853122	AT2G40360
chr2	16852354	16856338	chr2	16852880	16853208	AT2G40360
chr3	6906516	6907568	chr3	6907395	6911233	AT3G19870
chr3	6906516	6907568	chr3	6907395	6911233	AT3G19870
chr3	6906516	6907568	chr3	6907481	6911115	AT3G19870
chr3	6906516	6907568	chr3	6907395	6907949	AT3G19870
chr3	6906516	6907568	chr3	6907395	6907480	AT3G19870
chr3	6906516	6907568	chr3	6907481	6907949	AT3G19870
chr5	24387197	24388544	chr5	24386145	24386976	AT5G60680
chr5	24387197	24388544	chr5	24386145	24386976	AT5G60680
chr5	24387197	24388544	chr5	24386145	24386976	AT5G60680
chr5	24387197	24388544	chr5	24386739	24386976	AT5G60680
chr2	9443057	9444300	chr2	9443128	9444423	AT2G22200
chr2	9443057	9444300	chr2	9443128	9444423	AT2G22200
chr2	9443057	9444300	chr2	9443422	9444207	AT2G22200
chr2	9443057	9444300	chr2	9444208	9444423	AT2G22200
chr2	9443057	9444300	chr2	9443422	9444207	AT2G22200
chr2	9443057	9444300	chr2	9443128	9443421	AT2G22200
chr2	9443057	9444300	chr2	9443128	9444423	AT2G22200
chr1	27955435	27956417	chr1	27954231	27958114	AT1G74360
chr1	27955435	27956417	chr1	27954231	27958114	AT1G74360
chr1	27955435	27956417	chr1	27954299	27957911	AT1G74360
chr1	27955435	27956417	chr1	27954679	27958114	AT1G74360
chr1	27955435	27956417	chr1	27954679	27957911	AT1G74360
chr1	8193178	8194593	chr1	8195776	8196475	AT1G23100
chr1	8193178	8194593	chr1	8195776	8196475	AT1G23100
chr1	8193178	8194593	chr1	8195776	8195971	AT1G23100
chr1	8193178	8194593	chr1	8195776	8195866	AT1G23100
chr1	29443495	29444621	chr1	29443973	29444010	AT1G78250
chr1	29443495	29444621	chr1	29443973	29444010	AT1G78250
chr1	29443495	29444621	chr1	29443973	29444010	AT1G78250
chr3	1478013	1479702	chr3	1476982	1478730	AT3G05200
chr3	1478013	1479702	chr3	1476982	1478730	AT3G05200
chr3	1478013	1479702	chr3	1477377	1478573	AT3G05200
chr3	1478013	1479702	chr3	1476982	1478730	AT3G05200
chr3	1478013	1479702	chr3	1477377	1478573	AT3G05200
chr3	1478013	1479702	chr3	1478574	1478730	AT3G05200
chr3	1478013	1479702	chr3	1479538	1482042	AT3G05210
chr3	1478013	1479702	chr3	1479538	1482042	AT3G05210
chr3	1478013	1479702	chr3	1479591	1481823	AT3G05210
chr3	1478013	1479702	chr3	1479538	1479874	AT3G05210
chr3	1478013	1479702	chr3	1479538	1479590	AT3G05210
chr3	1478013	1479702	chr3	1479591	1479874	AT3G05210
chr4	17001760	17003269	chr4	16997139	17000833	AT4G35890
chr4	17001760	17003269	chr4	16997139	17000833	AT4G35890
chr4	17001760	17003269	chr4	17000147	17000833	AT4G35890
chr4	17001760	17003269	chr4	17000411	17000833	AT4G35890
chr2	13652729	13654930	chr2	13651510	13653921	AT2G32120
chr2	13652729	13654930	chr2	13651510	13653920	AT2G32120
chr2	13652729	13654930	chr2	13651720	13653411	AT2G32120
chr2	13652729	13654930	chr2	13653747	13653920	AT2G32120
chr2	13652729	13654930	chr2	13653747	13653920	AT2G32120
chr2	13652729	13654930	chr2	13653412	13653427	AT2G32120
chr2	13652729	13654930	chr2	13651720	13653411	AT2G32120
chr2	13652729	13654930	chr2	13651510	13653427	AT2G32120
chr2	13652729	13654930	chr2	13651510	13653921	AT2G32120
chr2	13652729	13654930	chr2	13651720	13653411	AT2G32120
chr2	13652729	13654930	chr2	13653747	13653921	AT2G32120
chr2	13652729	13654930	chr2	13653747	13653921	AT2G32120
chr2	13652729	13654930	chr2	13653412	13653414	AT2G32120
chr2	13652729	13654930	chr2	13651720	13653411	AT2G32120
chr2	13652729	13654930	chr2	13651510	13653414	AT2G32120
chr2	13652729	13654930	chr2	13654886	13655525	AT2G32130
chr2	13652729	13654930	chr2	13654886	13655525	AT2G32130
chr2	13652729	13654930	chr2	13654886	13654995	AT2G32130
chr2	13652729	13654930	chr2	13654886	13655525	AT2G32130
chr4	14551491	14553284	chr4	14553315	14555167	AT4G29720
chr4	14551491	14553284	chr4	14553315	14555167	AT4G29720
chr4	14551491	14553284	chr4	14553315	14553455	AT4G29720
chr4	14551491	14553284	chr4	14553315	14555167	AT4G29720
chr4	14901893	14903195	chr4	14899034	14902144	AT4G30490
chr4	14901893	14903195	chr4	14899034	14902144	AT4G30490
chr4	14901893	14903195	chr4	14901884	14902144	AT4G30490
chr4	14901893	14903195	chr4	14901634	14902144	AT4G30490
chr3	23289560	23291096	chr3	23289425	23291486	AT3G63010
chr3	23289560	23291096	chr3	23289425	23291486	AT3G63010
chr3	23289560	23291096	chr3	23289717	23290998	AT3G63010
chr3	23289560	23291096	chr3	23289425	23289755	AT3G63010
chr3	23289560	23291096	chr3	23289425	23289716	AT3G63010
chr3	23289560	23291096	chr3	23289717	23289755	AT3G63010
chr3	23289560	23291096	chr3	23289961	23291486	AT3G63010
chr3	23289560	23291096	chr3	23289961	23290998	AT3G63010
chr3	23289560	23291096	chr3	23290999	23291486	AT3G63010
chr4	10650010	10650533	chr4	10651744	10657282	AT4G19530
chr4	10650010	10650533	chr4	10651744	10657282	AT4G19530
chr4	10650010	10650533	chr4	10651744	10652431	AT4G19530
chr4	10650010	10650533	chr4	10651744	10651961	AT4G19530
chr3	5645737	5646865	chr3	5644698	5645414	AT3G16570
chr3	5645737	5646865	chr3	5644698	5645414	AT3G16570
chr3	5645737	5646865	chr3	5644698	5645414	AT3G16570
chr3	5645737	5646865	chr3	5645165	5645414	AT3G16570
chr5	7699247	7700363	chr5	7696135	7697927	AT5G23000
chr5	7699247	7700363	chr5	7696135	7697927	AT5G23000
chr5	7699247	7700363	chr5	7696989	7697927	AT5G23000
chr5	7699247	7700363	chr5	7697713	7697927	AT5G23000
